Name;Description;Date;Priority;Effort;TeamMembers;Comments
Task 729;;28.03.2025;4;XL;Member 1, Member 2;
Task 730;;10.05.2025;10;L;Member 1, Member 2, Member 3;Very easy
Task 731;;15.02.2025;6;XS;Member 1, Member 4;Comment 1
Task 732;;12.02.2025;3;S;Member 3, Member 2;Comment 1, Comment 2
Task 733;;28.04.2025;9;M;Member 1, Member 2;Comment1, Comment 3
Task 734;;13.03.2025;2;L;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 735;;15.03.2025;8;XL;Member 2;Very important
Task 736;;24.04.2025;5;XS;Member 5;
Task 737;;01.02.2025;2;S;Member 1, Member 2;Very easy
Task 738;;13.04.2025;9;L;Member 1, Member 2, Member 3;Comment 1
Task 739;;30.03.2025;6;L;Member 1, Member 4;Comment 1, Comment 2
Task 740;;23.03.2025;5;XS;Member 3, Member 2;Comment1, Comment 3
Task 741;;29.04.2025;8;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 742;;02.03.2025;4;M;Member 1;Very important
Task 743;;27.02.2025;9;XL;Member 2;
Task 744;;11.02.2025;6;XL;Member 5;Very easy
Task 745;;09.05.2025;4;L;Member 1, Member 2;Comment 1
Task 746;;07.02.2025;5;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 747;;23.02.2025;3;S;Member 1, Member 4;Comment1, Comment 3
Task 748;;07.02.2025;9;M;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 749;;03.02.2025;7;L;Member 1, Member 2;Very important
Task 750;;07.02.2025;7;XL;Member 1;
Task 751;;27.04.2025;8;XS;Member 2;Very easy
Task 752;;11.03.2025;6;S;Member 5;Comment 1
Task 753;;18.03.2025;6;L;Member 1, Member 2;Comment 1, Comment 2
Task 754;;14.04.2025;9;L;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 755;;23.03.2025;8;XS;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 756;;12.02.2025;2;XS;Member 3, Member 2;Very important
Task 757;;23.02.2025;4;M;Member 1, Member 2;
Task 758;;23.03.2025;5;XL;Member 1;Very easy
Task 759;;05.04.2025;10;XL;Member 2;Comment 1
Task 760;;03.04.2025;3;L;Member 5;Comment 1, Comment 2
Task 761;;05.02.2025;11;XS;Member 1, Member 2;Comment1, Comment 3
Task 762;;27.02.2025;9;S;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 763;;06.02.2025;4;M;Member 1, Member 4;Very important
Task 764;;13.04.2025;8;L;Member 3, Member 2;
Task 765;;12.04.2025;8;XL;Member 1, Member 2;Very easy
Task 766;;04.03.2025;10;XS;Member 1;Comment 1
Task 767;;02.05.2025;8;S;Member 2;Comment 1, Comment 2
Task 768;;13.03.2025;4;L;Member 5;Comment1, Comment 3
Task 769;;22.04.2025;4;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 770;;02.05.2025;10;XS;Member 1, Member 2, Member 3;Very important
Task 771;;18.03.2025;6;XS;Member 1, Member 4;
Task 772;;31.01.2025;6;M;Member 3, Member 2;Very easy
Task 773;;05.02.2025;5;XL;Member 1, Member 2;Comment 1
Task 774;;17.04.2025;10;XL;Member 1;Comment 1, Comment 2
Task 775;;02.02.2025;7;L;Member 2;Comment1, Comment 3
Task 776;;05.02.2025;5;XS;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 777;;07.04.2025;8;S;Member 1, Member 2;Very important
Task 778;;09.05.2025;6;M;Member 1, Member 2, Member 3;
Task 779;;06.03.2025;5;L;Member 1, Member 4;Very easy
Task 780;;02.05.2025;10;XL;Member 3, Member 2;Comment 1
Task 781;;10.02.2025;4;XS;Member 1, Member 2;Comment 1, Comment 2
Task 782;;04.02.2025;5;S;Member 1;Comment1, Comment 3
Task 783;;06.04.2025;5;L;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 784;;04.02.2025;3;L;Member 5;Very important
Task 785;;08.03.2025;3;XS;Member 1, Member 2;
Task 786;;16.02.2025;7;XS;Member 1, Member 2, Member 3;Very easy
Task 787;;28.03.2025;8;M;Member 1, Member 4;Comment 1
Task 788;;23.03.2025;2;XL;Member 3, Member 2;Comment 1, Comment 2
Task 789;;05.02.2025;10;XL;Member 1, Member 2;Comment1, Comment 3
Task 790;;22.03.2025;9;L;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 791;;20.04.2025;3;XS;Member 2;Very important
Task 792;;25.03.2025;5;S;Member 5;
Task 793;;12.03.2025;6;M;Member 1, Member 2;Very easy
Task 794;;16.03.2025;10;L;Member 1, Member 2, Member 3;Comment 1
Task 795;;26.02.2025;5;XL;Member 1, Member 4;Comment 1, Comment 2
Task 796;;01.04.2025;10;XS;Member 3, Member 2;Comment1, Comment 3
Task 797;;26.02.2025;3;S;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 798;;01.03.2025;3;L;Member 1;Very important
Task 799;;11.02.2025;5;L;Member 2;
Task 800;;13.03.2025;7;XS;Member 5;Very easy
Task 801;;10.05.2025;6;XS;Member 1, Member 2;Comment 1
Task 802;;04.02.2025;4;M;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 803;;05.05.2025;7;XL;Member 1, Member 4;Comment1, Comment 3
Task 804;;09.02.2025;4;XL;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 805;;03.05.2025;4;L;Member 1, Member 2;Very important
Task 806;;20.03.2025;7;XS;Member 1;
Task 807;;12.04.2025;7;S;Member 2;Very easy
Task 808;;17.03.2025;6;M;Member 5;Comment 1
Task 809;;21.02.2025;2;L;Member 1, Member 2;Comment 1, Comment 2
Task 810;;17.04.2025;7;XL;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 811;;25.02.2025;10;XS;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 812;;29.04.2025;8;S;Member 3, Member 2;Very important
Task 813;;02.03.2025;9;L;Member 1, Member 2;
Task 814;;13.03.2025;3;L;Member 1;Very easy
Task 815;;28.03.2025;4;XS;Member 2;Comment 1
Task 816;;14.02.2025;6;XS;Member 5;Comment 1, Comment 2
Task 817;;04.05.2025;9;M;Member 1, Member 2;Comment1, Comment 3
Task 818;;30.03.2025;4;XL;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 819;;10.05.2025;10;XL;Member 1, Member 4;Very important
Task 820;;27.03.2025;8;L;Member 3, Member 2;
Task 821;;21.03.2025;6;XS;Member 1, Member 2;Very easy
Task 822;;05.05.2025;7;S;Member 1;Comment 1
Task 823;;11.04.2025;6;M;Member 2;Comment 1, Comment 2
Task 824;;07.03.2025;5;L;Member 5;Comment1, Comment 3
Task 825;;07.05.2025;8;XL;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 826;;12.04.2025;5;XS;Member 1, Member 2, Member 3;Very important
Task 827;;01.02.2025;3;S;Member 1, Member 4;
Task 828;;27.03.2025;8;L;Member 3, Member 2;Very easy
Task 829;;03.03.2025;9;L;Member 1, Member 2;Comment 1
Task 830;;10.03.2025;5;XS;Member 1;Comment 1, Comment 2
Task 831;;16.04.2025;8;XS;Member 2;Comment1, Comment 3
Task 832;;25.02.2025;9;M;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 833;;10.02.2025;2;XL;Member 1, Member 2;Very important
Task 834;;05.05.2025;11;XL;Member 1, Member 2, Member 3;
Task 835;;19.04.2025;5;L;Member 1, Member 4;Very easy
Task 836;;13.03.2025;10;XS;Member 3, Member 2;Comment 1
Task 837;;23.03.2025;8;S;Member 1, Member 2;Comment 1, Comment 2
Task 838;;12.03.2025;10;M;Member 1;Comment1, Comment 3
Task 839;;29.04.2025;8;L;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 840;;07.03.2025;7;XL;Member 5;Very important
Task 841;;05.03.2025;3;XS;Member 1, Member 2;
Task 842;;12.04.2025;4;S;Member 1, Member 2, Member 3;Very easy
Task 843;;11.02.2025;7;L;Member 1, Member 4;Comment 1
Task 844;;06.02.2025;8;L;Member 3, Member 2;Comment 1, Comment 2
Task 845;;22.04.2025;8;XS;Member 1, Member 2;Comment1, Comment 3
Task 846;;21.04.2025;8;XS;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 847;;04.02.2025;6;M;Member 2;Very important
Task 848;;19.02.2025;5;XL;Member 5;
Task 849;;21.04.2025;7;XL;Member 1, Member 2;Very easy
Task 850;;05.02.2025;3;L;Member 1, Member 2, Member 3;Comment 1
Task 851;;10.02.2025;5;XS;Member 1, Member 4;Comment 1, Comment 2
Task 852;;14.03.2025;7;S;Member 3, Member 2;Comment1, Comment 3
Task 853;;25.03.2025;5;M;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 854;;24.02.2025;6;L;Member 1;Very important
Task 855;;05.05.2025;6;XL;Member 2;
Task 856;;31.03.2025;9;XS;Member 5;Very easy
Task 857;;24.02.2025;11;S;Member 1, Member 2;Comment 1
Task 858;;12.03.2025;5;L;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 859;;06.04.2025;5;L;Member 1, Member 4;Comment1, Comment 3
Task 860;;07.03.2025;6;XS;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 861;;23.03.2025;10;XS;Member 1, Member 2;Very important
Task 862;;03.02.2025;10;M;Member 1;
Task 863;;03.02.2025;4;XL;Member 2;Very easy
Task 864;;03.04.2025;5;XL;Member 5;Comment 1
Task 865;;01.05.2025;10;L;Member 1, Member 2;Comment 1, Comment 2
Task 866;;25.04.2025;4;XS;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 867;;20.04.2025;10;S;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 868;;02.04.2025;11;M;Member 3, Member 2;Very important
Task 869;;15.04.2025;8;L;Member 1, Member 2;
Task 870;;19.04.2025;7;XL;Member 1;Very easy
Task 871;;07.02.2025;3;XS;Member 2;Comment 1
Task 872;;01.04.2025;8;S;Member 5;Comment 1, Comment 2
Task 873;;23.03.2025;2;L;Member 1, Member 2;Comment1, Comment 3
Task 874;;24.02.2025;11;L;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 875;;07.03.2025;4;XS;Member 1, Member 4;Very important
Task 876;;29.04.2025;5;XS;Member 3, Member 2;
Task 877;;01.02.2025;10;M;Member 1, Member 2;Very easy
Task 878;;05.04.2025;8;XL;Member 1;Comment 1
Task 879;;07.02.2025;3;XL;Member 2;Comment 1, Comment 2
Task 880;;01.05.2025;2;L;Member 5;Comment1, Comment 3
Task 881;;16.02.2025;4;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 882;;09.04.2025;9;S;Member 1, Member 2, Member 3;Very important
Task 883;;25.04.2025;11;M;Member 1, Member 4;
Task 884;;05.03.2025;2;L;Member 3, Member 2;Very easy
Task 885;;23.03.2025;5;XL;Member 1, Member 2;Comment 1
Task 886;;01.02.2025;8;XS;Member 1;Comment 1, Comment 2
Task 887;;27.03.2025;8;S;Member 2;Comment1, Comment 3
Task 888;;28.02.2025;10;L;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 889;;01.05.2025;2;L;Member 1, Member 2;Very important
Task 890;;26.03.2025;5;XS;Member 1, Member 2, Member 3;
Task 891;;03.02.2025;4;XS;Member 1, Member 4;Very easy
Task 892;;20.03.2025;9;M;Member 3, Member 2;Comment 1
Task 893;;09.05.2025;4;XL;Member 1, Member 2;Comment 1, Comment 2
Task 894;;09.04.2025;4;XL;Member 1;Comment1, Comment 3
Task 895;;02.02.2025;9;L;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 896;;16.02.2025;10;XS;Member 5;Very important
Task 897;;04.04.2025;4;S;Member 1, Member 2;
Task 898;;13.03.2025;9;M;Member 1, Member 2, Member 3;Very easy
Task 899;;02.04.2025;5;L;Member 1, Member 4;Comment 1
Task 900;;12.04.2025;9;XL;Member 3, Member 2;Comment 1, Comment 2
Task 901;;02.03.2025;;;;
Task 902;;08.04.2025;;;;
Task 903;;07.02.2025;;;;
Task 904;;02.02.2025;;;;
Task 905;;03.05.2025;;;;
Task 906;;27.02.2025;;;;
Task 907;;10.03.2025;;;;
Task 908;;26.04.2025;;;;
Task 909;;10.05.2025;;;;
Task 910;;21.03.2025;;;;
Task 911;;16.02.2025;;;;
Task 912;;15.03.2025;;;;
Task 913;;02.04.2025;;;;
Task 914;;30.04.2025;;;;
Task 915;;26.02.2025;;;;
Task 916;;14.02.2025;;;;
Task 917;;29.04.2025;;;;
Task 918;;05.03.2025;;;;
Task 919;;15.03.2025;;;;
Task 920;;05.03.2025;;;;
Task 921;;10.05.2025;;;;
Task 922;;09.05.2025;;;;
Task 923;;08.03.2025;;;;
Task 924;;20.03.2025;;;;
Task 925;;10.02.2025;;;;
Task 926;;24.04.2025;;;;
Task 927;;21.03.2025;;;;
Task 928;;17.04.2025;;;;
Task 929;;09.02.2025;;;;
Task 930;;21.03.2025;;;;
Task 931;;15.02.2025;;;;
Task 932;;29.04.2025;;;;
Task 933;;21.04.2025;;;;
Task 934;;08.04.2025;;;;
Task 935;;10.02.2025;;;;
Task 936;;25.04.2025;;;;
Task 937;;11.02.2025;;;;
Task 938;;06.03.2025;;;;
Task 939;;17.03.2025;;;;
Task 940;;18.02.2025;;;;
Task 941;;21.02.2025;;;;
Task 942;;09.04.2025;;;;
Task 943;;27.02.2025;;;;
Task 944;;03.03.2025;;;;
Task 945;;13.03.2025;;;;
Task 946;;23.04.2025;;;;
Task 947;;18.03.2025;;;;
Task 948;;24.03.2025;;;;
Task 949;;29.03.2025;;;;
Task 950;;17.02.2025;;;;
Task 951;;18.03.2025;;;;
Task 952;;20.03.2025;;;;
Task 953;;08.03.2025;;;;
Task 954;;07.05.2025;;;;
Task 955;;06.04.2025;;;;
Task 956;;28.03.2025;;;;
Task 957;;07.04.2025;;;;
Task 958;;01.05.2025;;;;
Task 959;;05.04.2025;;;;
Task 960;;02.02.2025;;;;
Task 961;;20.04.2025;;;;
Task 962;;27.03.2025;;;;
Task 963;;10.05.2025;;;;
Task 964;;24.04.2025;;;;
Task 965;;28.03.2025;;;;
Task 966;;25.03.2025;;;;
Task 967;;04.02.2025;;;;
Task 968;;06.03.2025;;;;
Task 969;;21.02.2025;;;;
Task 970;;14.04.2025;;;;
Task 971;;30.04.2025;;;;
Task 972;;25.03.2025;;;;
Task 973;;06.02.2025;;;;
Task 974;;15.02.2025;;;;
Task 975;;15.02.2025;;;;
Task 976;;08.03.2025;;;;
Task 977;;17.04.2025;;;;
Task 978;;02.05.2025;;;;
Task 979;;09.04.2025;;;;
Task 980;;22.03.2025;;;;
Task 981;;26.03.2025;;;;
Task 982;;01.04.2025;;;;
Task 983;;30.04.2025;;;;
Task 984;;22.02.2025;;;;
Task 985;;25.02.2025;;;;
Task 986;;31.03.2025;;;;
Task 987;;17.02.2025;;;;
Task 988;;20.04.2025;;;;
Task 989;;20.03.2025;;;;
Task 990;;09.05.2025;;;;
Task 991;;07.05.2025;;;;
Task 992;;08.05.2025;;;;
Task 993;;27.02.2025;;;;
Task 994;;03.02.2025;;;;
Task 995;;25.03.2025;;;;
Task 996;;18.04.2025;;;;
Task 997;;14.02.2025;;;;
Task 998;;02.05.2025;;;;
Task 999;;19.03.2025;;;;
